Date,Location,Province,Address,Health Authority,Drug Checking Site,Sold As/Expected Drug,Category,Colour,Texture,Code,Fentanyl,Benzodiazepine,FTIR Spectrometer,Source
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Unknown,Unknown,White,Crystal,N/A,Negative,Negative,Methamphetamine,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Unknown,Unknown,Purple,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Unknown,Unknown,Dark Yellow,Chunk,N/A,Positive,Negative,"Propionanilide, Uncertain match",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Yellow,Granules,N/A,Negative,Unspecified,"Uncertain oil, Lactose, Mdma",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Purple,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Purple,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Yellow,Crystal,N/A,Negative,Unspecified,"Mda, Mdma",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Grey,Powder,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Grey,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Grey,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Blue,Powder,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Brown,Powder,N/A,Negative,Unspecified,"Inositol, Mdma, Dimethyl sulfone",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Brown,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Grey,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Grey,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Dark Purple,Crystal,N/A,Negative,Unspecified,"Mdma, Uncertain match",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Brown,Granules,N/A,Negative,Unspecified,"Mdma, Sucrose, Dicalcium phosphate",bccsu-drugsense.onrender.com
2024-06-30,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Grey,Crystal,N/A,Negative,Unspecified,"Mdma, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,3-MMC,Stimulant,White,Crystal,N/A,Negative,Unspecified,3-mmc,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,4-MMC,Stimulant,White,Crystal,N/A,Negative,Unspecified,4-mmc,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,4-MMC,Stimulant,Light Brown,Granules,N/A,Negative,Unspecified,"Uncertain match, Caffeine, 3-mmc",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,4-MMC,Stimulant,Light Brown,Crystal,N/A,Negative,Unspecified,4-mmc,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,3-MMC,Stimulant,White,Granules,N/A,Negative,Unspecified,3-cmc,bccsu-drugsense.onrender.com
2024-06-29,Nelson,BC,"Nelson, BC, Canada",Interior Health,ANKORS (Nelson),Ketamine,Psychedelic,Colourless,Crystal,N/A,Negative,Unspecified,Ketamine,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,2C-B,Psychedelic,White,Granules,N/A,Negative,Negative,"Uncertain match, 2c-b",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,2C-B,Psychedelic,Pink,Powder,N/A,Negative,Negative,"Caffeine, Mdma, Ketamine, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Nelson,BC,"Nelson, BC, Canada",Interior Health,ANKORS (Nelson),Unknown,Unknown,White,Crystal,N/A,Negative,Unspecified,Polyethylene glycol,bccsu-drugsense.onrender.com
2024-06-29,Nelson,BC,"Nelson, BC, Canada",Interior Health,ANKORS (Nelson),Ketamine,Psychedelic,White,Crystal,N/A,Negative,Unspecified,"Ketamine, Mda",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,5-MeO-DiPT,Psychedelic,Light Brown,Crystal,N/A,Negative,Unspecified,Neg,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,5-MeO-DMT,Psychedelic,White,Granules,N/A,Negative,Unspecified,5-meo-dmt,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,5-MeO-DiPT,Psychedelic,Light Brown,Granules,N/A,Negative,Unspecified,Neg,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Acetaminophen and Oxycodone,Opioid,White,Chunk,N/A,Negative,Negative,"Uncertain oil, Microcrystalline cellulose, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Alprazolam,Depressant,White,Chunk,N/A,Negative,Positive,"Microcrystalline cellulose, Uncertain oil",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,MDMA,Psychedelic,Dark Brown,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-29,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,MDMA,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Pink,Granules,N/A,Positive,Positive,"Para-fluorofentanyl, Caffeine, Uncertain match, Erythritol",bccsu-drugsense.onrender.com
2024-06-29,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,MDA,Psychedelic,Light Pink,Pressed tablet,N/A,Negative,Unspecified,"Microcrystalline cellulose, Mda, Caffeine",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Green,Granules,N/A,Positive,Negative,"Erythritol, Caffeine, Uncertain carbohydrate, Fentanyl",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Crack Cocaine,Stimulant,White,Chunk,N/A,Negative,Unspecified,Cocaine base,bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Crack Cocaine,Stimulant,White,Chunk,N/A,Positive,Unspecified,"Cocaine base, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Beige,Granules,N/A,Positive,Negative,"Caffeine, Erythritol, Para-fluorofentanyl, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Blue,Chunk,N/A,Positive,Positive,"Erythritol, Fentanyl, Uncertain match, Caffeine",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Brown,Chunk,N/A,Positive,Positive,"Caffeine, Erythritol, Uncertain carbohydrate, Fentanyl, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Brown,Chunk,N/A,Positive,Positive,"Xylitol, Erythritol, Caffeine, Fentanyl",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Dark Brown,Chunk,N/A,Positive,Positive,"Erythritol, Uncertain match, Fentanyl, Xylitol, Caffeine",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Dark Brown,Paste,N/A,Positive,Positive,"Uncertain match, Para-fluorofentanyl base, Phenacetin, Caffeine, Xylitol",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Dark Pink,Chunk,N/A,Positive,Positive,"Erythritol, Caffeine, Xylitol, Uncertain match, Uncertain carbohydrate",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Dark Pink,Granules,N/A,Positive,Positive,"Uncertain match, Erythritol, Caffeine, Para-fluorofentanyl",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Light Brown,Chunk,N/A,Positive,Positive,"Uncertain carbohydrate, Uncertain match, Xylitol, Caffeine, Erythritol",bccsu-drugsense.onrender.com
2024-06-29,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Orange,Granules,N/A,Positive,Negative,"Caffeine, Fentanyl, Erythritol, Uncertain carbohydrate",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Purple,Chunk,N/A,Positive,Positive,"Xylitol, Uncertain carbohydrate, Ortho-methylfentanyl, Erythritol, Caffeine",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Purple,Granules,N/A,Positive,Negative,"Ortho-methylfentanyl, Caffeine, Erythritol",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Purple,Granules,N/A,Positive,Positive,"Uncertain match, Erythritol, Caffeine, Fentanyl",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Red,Granules,N/A,Positive,Positive,"Uncertain match, Para-fluorofentanyl base, Caffeine, Erythritol",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Down (Unknown Opioid),Opioid,Yellow,Granules,N/A,Positive,Negative,"Fentanyl, Caffeine, Erythritol",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Fentanyl,Opioid,Brown,Granules,N/A,Positive,Positive,"Xylitol, Caffeine, Erythritol, Fentanyl, Uncertain match",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,Unknown,Unknown,Light Green,Powder,N/A,Positive,Negative,"Caffeine, Erythritol, Fentanyl",bccsu-drugsense.onrender.com
2024-06-29,Chilliwack,BC,"Chilliwack, BC, Canada",Fraser Health,PCRS Wellness Centre,para-Fluorofentanyl,Opioid,Beige,Granules,N/A,Positive,Positive,"Caffeine, Uncertain match, Para-fluorofentanyl",bccsu-drugsense.onrender.com
2024-06-29,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Lake Cowichan,BC,"Lake Cowichan, BC, Canada",Island Health,Laketown Shakedown Music Festival 2024,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Granules,N/A,Negative,Unspecified,Cocaine hcl,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,Cocaine,Stimulant,White,Powder,N/A,Negative,Unspecified,Sodium bicarbonate,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Green,Chunk,N/A,Negative,Unspecified,Mda,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Light Purple,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Purple,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,Purple,Powder,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,White,Crystal,N/A,Negative,Negative,"Methamphetamine, Sucrose",bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,White,Crystal,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
2024-06-29,Vancouver,BC,"Vancouver, BC, Canada",Vancouver Coastal,Get Your Drugs Tested,MDMA,Psychedelic,White,Granules,N/A,Negative,Unspecified,Mdma,bccsu-drugsense.onrender.com
